iter	Logloss
0	0.6580662472
1	0.625448896
2	0.5959305162
3	0.5690556736
4	0.5444203782
5	0.5227854816
6	0.5022789506
7	0.4834253924
8	0.4669880222
9	0.4517275168
10	0.4376543573
11	0.4245728217
12	0.4132627656
13	0.402083199
14	0.3928715813
15	0.384223897
16	0.3765482856
17	0.3689011326
18	0.3621391709
19	0.3559599765
20	0.3501222985
21	0.3439620841
22	0.3388372609
23	0.3345233679
24	0.3303275361
25	0.3264310025
26	0.3228344807
27	0.3187671101
28	0.3156057787
29	0.3129296509
30	0.3104000289
31	0.3080503755
32	0.3060036855
33	0.3038681885
34	0.3018324227
35	0.2999138789
36	0.2981609342
37	0.296705621
38	0.2951695789
39	0.293909942
40	0.2920970718
41	0.2903426767
42	0.289208044
43	0.2875186725
44	0.2861437475
45	0.2848705722
46	0.2836848965
47	0.2826183079
48	0.2815709427
49	0.2806938225
50	0.2799927975
51	0.2791264537
52	0.278334851
53	0.277473694
54	0.276704607
55	0.2761088479
56	0.2753285541
57	0.2747882483
58	0.2740867529
59	0.273449824
60	0.2730565406
61	0.2723753518
62	0.2719286542
63	0.2713869673
64	0.2708930032
65	0.2703840942
66	0.2700034918
67	0.2696875542
68	0.2691919071
69	0.2688522106
70	0.268484507
71	0.2679835781
72	0.2675488361
73	0.267269461
74	0.2669414251
75	0.2665734734
76	0.266205114
77	0.2658433933
78	0.2655425893
79	0.2652354631
80	0.2649166906
81	0.2646041604
82	0.2642969202
83	0.2639973742
84	0.2637361252
85	0.2634679302
86	0.2632103375
87	0.2630074807
88	0.262748853
89	0.2625406894
90	0.2623479436
91	0.2621310244
92	0.2619077806
93	0.2617014431
94	0.2614817881
95	0.2612026715
96	0.2610328197
97	0.2608125032
98	0.2605596484
99	0.2603922316
100	0.2602425755
101	0.2600882767
102	0.2599082071
103	0.2597730866
104	0.2596383212
105	0.2594575781
106	0.2592989867
107	0.2591620632
108	0.2590197219
109	0.2588278062
110	0.2586561539
111	0.258509413
112	0.258327848
113	0.2582146579
114	0.258108407
115	0.2580087078
116	0.2578823944
117	0.2577595463
118	0.2576260459
119	0.257495353
120	0.2573256409
121	0.257175337
122	0.2570496384
123	0.2569646702
124	0.2568296441
125	0.2566610016
126	0.2565420067
127	0.2563947713
128	0.2562767639
129	0.2561789363
130	0.2560407325
131	0.2559684487
132	0.2558450754
133	0.2557430865
134	0.2556490672
135	0.2555300699
136	0.2554090811
137	0.2552871135
138	0.255207219
139	0.2550727993
140	0.2549229076
141	0.2548034104
142	0.2547195492
143	0.2545918019
144	0.254468253
145	0.2543745155
146	0.2542885541
147	0.2541637229
148	0.2540022853
149	0.2538933183
150	0.2537937903
151	0.2537157533
152	0.2536249613
153	0.2534876718
154	0.253414856
155	0.2533169853
156	0.2531887955
157	0.2531106304
158	0.2530487289
159	0.2529425666
160	0.2528781955
161	0.2528059781
162	0.2527107633
163	0.2526369546
164	0.2525301972
165	0.2524391703
166	0.2523512785
167	0.2522764229
168	0.2522149509
169	0.2521207329
170	0.2520431366
171	0.251953724
172	0.2518755398
173	0.2517683245
174	0.251679589
175	0.2516010859
176	0.251508727
177	0.2514439481
178	0.2513591072
179	0.2512834579
180	0.2512080083
181	0.2511134777
182	0.2510013304
183	0.2508771668
184	0.2507529121
185	0.2506832899
186	0.2505575245
187	0.250493861
188	0.2504233592
189	0.2503439898
190	0.2503002282
191	0.2502006415
192	0.2501433695
193	0.2500740616
194	0.2499701609
195	0.2499140431
196	0.2498213289
197	0.2497236752
198	0.2496357802
199	0.2495541693
200	0.2494827727
201	0.2494282731
202	0.2493471792
203	0.249269097
204	0.2491921574
205	0.249115202
206	0.2490421161
207	0.2489362656
208	0.2488701085
209	0.2488154277
210	0.2487450185
211	0.2486857085
212	0.2486181895
213	0.2485329457
214	0.2484688851
215	0.2484301703
216	0.2483778672
217	0.248298022
218	0.2482161614
219	0.2481416066
220	0.2480795608
221	0.2480150805
222	0.2479158119
223	0.2478649444
224	0.2477809731
225	0.2477123746
226	0.2476303294
227	0.2475641029
228	0.2474899866
229	0.2473783232
230	0.2473282867
231	0.24725258
232	0.2471958843
233	0.2471395438
234	0.2470723641
235	0.2469859898
236	0.2469022721
237	0.2468150369
238	0.2467369901
239	0.2466652919
240	0.2465776957
241	0.2465244042
242	0.2464568704
243	0.2463762223
244	0.2463149451
245	0.2462198325
246	0.2461265699
247	0.2460750646
248	0.2460192301
249	0.2459596932
250	0.245908128
251	0.2458581368
252	0.2457710029
253	0.2457250766
254	0.2456461479
255	0.2455880583
256	0.2455366423
257	0.2454710015
258	0.2453709159
259	0.2453150281
260	0.245253766
261	0.2451450475
262	0.2450625686
263	0.2450115409
264	0.2449327093
265	0.244870999
266	0.2448185178
267	0.2447731133
268	0.2447023625
269	0.2446502581
270	0.2445874443
271	0.2445290057
272	0.2444775396
273	0.2443993828
274	0.244354601
275	0.2442757748
276	0.2442321218
277	0.244176044
278	0.2441224068
279	0.2440670615
280	0.2440127335
281	0.2439391517
282	0.2438423752
283	0.2437927474
284	0.2437589831
285	0.2436860203
286	0.2436488338
287	0.2435867007
288	0.2435477924
289	0.2434811146
290	0.2434123733
291	0.243340553
292	0.2432830885
293	0.2432333878
294	0.2431940034
295	0.2431486578
296	0.2430955253
297	0.2430495648
298	0.2429729967
299	0.2429198133
300	0.2428669079
301	0.2427820332
302	0.2427362361
303	0.2427011482
304	0.242621362
305	0.2425787837
306	0.2424985955
307	0.2424505048
308	0.2423628535
309	0.2423317019
310	0.2422943831
311	0.2422600759
312	0.2422230515
313	0.2421606071
314	0.242095777
315	0.2420421055
316	0.2419874611
317	0.2419511312
318	0.2419098782
319	0.2418715837
320	0.2418092557
321	0.2417571892
322	0.2417260484
323	0.2416623141
324	0.2416264364
325	0.2415564357
326	0.2415115306
327	0.2414705147
328	0.2414323595
329	0.2413652314
330	0.241297119
331	0.2412348269
332	0.2411939472
333	0.2411574694
334	0.2411286506
335	0.2410693683
336	0.2410138538
337	0.2409490307
338	0.2409202667
339	0.2408566902
340	0.2408036041
341	0.2407471325
342	0.2407006027
343	0.2406511606
344	0.2405802701
345	0.2405073013
346	0.2404349222
347	0.2404016963
348	0.2403270272
349	0.2402774719
350	0.2402403199
351	0.2402016289
352	0.2401604228
353	0.2401356773
354	0.2400809851
355	0.2400412031
356	0.2400055078
357	0.2399583444
358	0.2398993254
359	0.2398428883
360	0.2397916411
361	0.239751688
362	0.2397137355
363	0.2396700368
364	0.2396370606
365	0.239570761
366	0.2395195857
367	0.239497535
368	0.2394570355
369	0.2394171889
370	0.2393608393
371	0.2393029815
372	0.2392761913
373	0.239246864
374	0.2391850895
375	0.2391402777
376	0.2390887216
377	0.2390573857
378	0.2389925339
379	0.2389340003
380	0.2388755194
381	0.2388335419
382	0.2387914415
383	0.2387495581
384	0.2386933903
385	0.2386516098
386	0.2386190509
387	0.2385640808
388	0.2385176475
389	0.2384616327
390	0.2383858952
391	0.2383577932
392	0.2382966448
393	0.2382556157
394	0.2382046363
395	0.2381591405
396	0.2381162661
397	0.2380497564
398	0.2379975517
399	0.2379654189
400	0.2379223175
401	0.2378736669
402	0.237839289
403	0.237796661
404	0.237758561
405	0.2377141132
406	0.2376847687
407	0.2376512049
408	0.237596942
409	0.2375617507
410	0.2375280156
411	0.2374781768
412	0.2374246373
413	0.2373737706
414	0.2373380666
415	0.237303925
416	0.2372486726
417	0.2372088852
418	0.2371403965
419	0.2370927238
420	0.237049187
421	0.2370146857
422	0.2369878817
423	0.2369369108
424	0.2368680455
425	0.2368358089
426	0.2367810505
427	0.2367534041
428	0.236672373
429	0.2366294265
430	0.2365927181
431	0.236550889
432	0.2365246407
433	0.2364825232
434	0.2364374567
435	0.2364042287
436	0.2363531214
437	0.2363035782
438	0.2362516656
439	0.2362073513
440	0.236162454
441	0.236139233
442	0.2361032828
443	0.2360603352
444	0.2360128066
445	0.2359749194
446	0.2359165967
447	0.2358899459
448	0.2358585313
449	0.235809945
450	0.2357719566
451	0.2357222058
452	0.2356799996
453	0.2356500378
454	0.2356078018
455	0.2355645385
456	0.2355271858
457	0.2354673812
458	0.2354126971
459	0.2353792405
460	0.235346557
461	0.2353107454
462	0.2352817048
463	0.2352360722
464	0.2351935889
465	0.2351454815
466	0.2351083014
467	0.2350661922
468	0.235031053
469	0.2349925698
470	0.2349492624
471	0.2349090499
472	0.2348554975
473	0.2348036525
474	0.234782403
475	0.2347197402
476	0.2346881576
477	0.2346458626
478	0.2346041356
479	0.2345699218
480	0.2345270009
481	0.2344777488
482	0.2344284759
483	0.2343901769
484	0.2343521852
485	0.2343260096
486	0.2342817269
487	0.2342450416
488	0.2342079775
489	0.2341668403
490	0.2341324617
491	0.2340968172
492	0.2340612751
493	0.2340349674
494	0.2340097
495	0.2339641193
496	0.233939257
497	0.2339014268
498	0.2338752042
499	0.2338521627
500	0.2338232258
501	0.2337923127
502	0.2337701198
503	0.2337357947
504	0.2336936616
505	0.2336486905
506	0.2336112609
507	0.2335770441
508	0.2335311738
509	0.2334871857
510	0.233454432
511	0.2334174803
512	0.2333776511
513	0.2333277207
514	0.2332827816
515	0.2332499373
516	0.2332221771
517	0.2331796356
518	0.2331458199
519	0.2331070722
520	0.2330642706
521	0.2330276011
522	0.233000382
523	0.2329609582
524	0.2329331104
525	0.2328980709
526	0.2328613149
527	0.2328204597
528	0.2327803862
529	0.2327392558
530	0.2327133552
531	0.2326695639
532	0.2326363477
533	0.2325783187
534	0.2325438475
535	0.2325115048
536	0.2324866307
537	0.2324444704
538	0.2324084137
539	0.2323665634
540	0.2323189801
541	0.2322848569
542	0.2322537196
543	0.2322141346
544	0.2321899422
545	0.2321578241
546	0.2321233201
547	0.2320837748
548	0.2320422703
549	0.2320001719
550	0.2319686093
551	0.2319325637
552	0.2319140919
553	0.2318701946
554	0.2318168899
555	0.2317830024
556	0.2317340063
557	0.231686478
558	0.2316499713
559	0.23161092
560	0.2315744339
561	0.2315397844
562	0.2314921541
563	0.2314568116
564	0.2314244548
565	0.2313845079
566	0.231363437
567	0.2313154081
568	0.2312816348
569	0.231242249
570	0.2312078868
571	0.2311755957
572	0.2311435057
573	0.2311101195
574	0.2310805936
575	0.2310400687
576	0.2310047349
577	0.2309690849
